Section,Type,Shape,Catalogue,Area,Ix,Iy,H1,H2,bf1,bf2,tf1,tf2,tw,,,,,,,,
,,,,cm²,cm4,cm4,mm,mm,mm,mm,mm,mm,mm,,,,,,,,
UB203X133X25,Steel,I,,,,,203.2,203.2,133.2,133.2,7.8,7.8,7.6,*the added number is for Fillet radius not web thickness,,,,,,,
SHS1000X1000X40,Steel,Square Hollow,BUS,,,,1000,1000,1000,1000,40,40,40,,,,,,,,
conc 400x600,Concrete,Rectangle,NA,24,,,600,600,400,400,0,0,0,,,,,,,,
B300x300,Concrete,Rectangle,NA,9,,,300,300,300,300,0,0,0,,,,,,,,
C40-B250x500,Concrete,Rectangle,NA,12.5,,,500,500,250,250,0,0,0,,,,,,,,
C40-b250x600,Concrete,Rectangle,NA,15,,,600,600,250,250,0,0,0,,,,,,,,
concbeam 250x500,Concrete,Rectangle,NA,12.5,,,500,500,250,250,0,0,0,,,,,,,,
concol 350x500,Concrete,Rectangle,NA,17.5,,,500,500,350,350,0,0,0,,,,,,,,
col500x500,Concrete,Rectangle,NA,25,,,500,500,500,500,0,0,0,,,,,,,,
c800x800,Concrete,Rectangle,NA,64,,,800,800,800,800,0,0,0,,,,,,,,
IPE80,Steel,I,,7.64,80.1,8.49,80,80,46,46,5.2,5.2,3.8,,,,,,,,
IPE100,Steel,I,,10.3,171,15.9,100,100,55,55,5.7,5.7,4.1,,,,,,,,
IPE120,Steel,I,,13.2,318,27.7,120,120,64,64,6.3,6.3,4.4,,,,,,,,
IPE140,Steel,I,,16.4,541,44.9,140,140,73,73,6.9,6.9,4.7,,,,,,,,
IPE160,Steel,I,,20.1,869,68.3,160,160,82,82,7.4,7.4,5,,,,,,,,
IPE180,Steel,I,,23.9,1320,101,180,180,91,91,8,8,5.3,,,,,,,,
IPE200,Steel,I,,28.5,1940,142,200,200,100,100,8.5,8.5,5.6,,,,,,,,
IPE220,Steel,I,,33.4,2770,205,220,220,110,110,9.2,9.2,5.9,,,,,,,,
IPE240,Steel,I,,39.1,3890,284,240,240,120,120,9.8,9.8,6.2,,,,,,,,
IPE270,Steel,I,,45.9,5790,420,270,270,135,135,10.2,10.2,6.6,,,,,,,,
IPE300,Steel,I,,53.8,8360,604,300,300,150,150,10.7,10.7,7.1,,,,,,,,
IPE330,Steel,I,,62.6,11770,788,330,330,160,160,11.5,11.5,7.5,,,,,,,,
IPE360,Steel,I,,72.7,16270,1040,360,360,170,170,12.7,12.7,8,,,,,,,,
IPE400,Steel,I,,84.5,23130,1320,400,400,180,180,13.5,13.5,8.6,,,,,,,,
IPE450,Steel,I,,98.8,33740,1680,450,450,190,190,14.6,14.6,9.4,,,,,,,,
IPE500,Steel,I,,116,48200,2140,500,500,200,200,16,16,10.2,,,,,,,,
IPE550,Steel,I,,134,67120,2670,550,550,210,210,17.2,17.2,11.1,,,,,,,,
IPE600,Steel,I,,156,92080,3390,600,600,220,220,19,19,12,,,,,,,,
HEA100,Steel,I,,21.2,349,134,96,96,100,100,8,8,5,,,,,,,,
HEA120,Steel,I,,25.3,606,231,114,114,120,120,8,8,5,,,,,,,,
HEA140,Steel,I,,31.4,1030,389,133,133,140,140,8.5,8.5,5.5,,,,,,,,
HEA160,Steel,I,,38.8,1670,616,152,152,160,160,9,9,6,,,,,,,,
HEA180,Steel,I,,45.3,2510,925,171,171,180,180,9.5,9.5,6,,,,,,,,
HEA200,Steel,I,,53.8,3690,1340,190,190,200,200,10,10,6.5,,,,,,,,
HEA220,Steel,I,,64.3,5410,1950,210,210,220,220,11,11,7,,,,,,,,
